AAL	American Airlines "American"
BMS	Blue Air "Blue Messenger"
FAB	First Air "First Air" (Canada)
GGN	Air Georgian "Georgian" (Canada)
DPJ	Delta Private Jets "Jet Card"
ABW	AirBridgeCargo "AIRBRIDGE CARGO" (Moscow, Russia)
CQH	Spring Airlines "AIR SPRING" (Shanghai)
ISS	Air Italy "Air Italy" (Olbia, Sassari)
SLK	Silkair "Silkair"
BTQ	Boutique Air "BOUTIQUE" (San Francisco, CA)
SXS	Sun Express (Turkey)
JZR	Jazeera Airways "JAZEERA"
SCX	Sun Country Airlines "Sun Country" (Minneapolis, MN)
HAG	Hageland Aviation Services "Hageland" (Anchorage, Alaska)
TWY	Sunset Aviation, LLC "Twilight"
BRU	Belavia "Belarus Avia"
GOW	GoAir "Go Air" (Mumbai)
AEE	Aegean Airlines "Aegean" (Athens, Greece)
WSG	Wasaya "Wasaya" (Canada)
MPE	Canadian North Airlines "Empress" (Canada)
SWQ	Swift Air "Swiftflight" (Phoenix, Arizona)
AJX	Air Japan "AIR JAPAN" (Tokyo)
IWY	interCaribbean Airways "Islandways" (Providenciales, Turks and Caicos Islands)
CSH	Shanghai Airlines "Shanghai Air"
CRQ	Air Creebec "Cree" (Canada)
DTA	TAAG Angola Airlines "ANGOLA" (Luanda, Angola)
VTA	Air Tahiti "Air Tahiti" (France)
ASV	Air Seoul "Air Seoul" (Incheon, South Korea)
MAC	Air Arabia Maroc "NAWRAS"
PCO	Pacific Coastal Airlines "Pasco" (Canada)
ASL	AIR SERBIA "AIR SERBIA" (Belgrade)
HDA	Cathay Dragon "DRAGON" (China-Hong Kong)
GWI	Germanwings "Germanwings"
ADR	Adria "Adria"
CYL	Alitalia CityLiner "CITYLINER" (Rome)
AHY	Azerbaijan Airlines "Azal"
PAC	Polar Air Cargo "Polar" (Purchase, NY)
STK	Stobart Air
EDW	Edelweiss Air AG "Edelweiss"
BOV	Boliviana de Aviación "BOLIVIANA" (Cochabamba, Bolivia)
TMC	Travel Management Company. LTD "Trailblazer"
TAO	Transportes Aeromar "Trans-Aeromar"
TVF	Transavia France "FRANCE SOLEIL"
SHU	Aurora "SATAIR"
LAK	Red Wing "REDLAKE" (Bay City, WI)
CRL	Corsair International "Corsair" (France)
EZS	easyJet Switzerland "Topswiss"
MAU	Air Mauritius "Airmauritius"
FRG	Freight Runners Express "Freight Runners"
SFY	FlightSafety Academy "Sky Flite" (Vero Beach, FL)
BRG	Bering Air "Bering Air" (Nome, Alaska)
LOG	Loganair "Logan"
VTM	Aeronaves TSM "Aeronaves"
AAF	Aigle Azur "Aigle Azur"
REU	Air Austral "Reunion"
WSW	Swoop Airlines "Swoop" (Canada)
SOO	Southern Air "Southern Air" (Florence, Kentucky)
CAW	Comair "Comair" (South Africa)
TFL	TUI Airlines "Orange" (The Netherands)
RPN	US DHS ICE "Repatriate" (US)
TJT	Twin Jet (France)
TYA	Nordstar "Taimyr" (Norilsk, Russia)
AIE	Air Inuit "Air Inuit" (Canada)
EAY	Aero Airlines (Estonia)
RJA	Royal Jordanian "Jordanian" (Jordan)
DKH	Juneyao Airlines "AIR JUNEYAO" (China)
RVF	Ravn Alaska "RAVEN FLIGHT" (Anchorage, AK)
NDU	University of North Dakota "Sioux"
VOE	Volotea "VOLOTEA"
IRM	Mahan Air "Mahan Air"
THU	Thunder "Air Thunder" (Canada)
FDY	Southern Airways Express "Friendly" (Ft. Lauderdale, FL)
CIT	Zanesville Aviation "Zane"
FAD	flyadeal "Purple" (Jeddah)
BSK	Miami Air International "Biscayne" (Miami, FL)
EXS	Jet"Channex" (Leeds/Bradford)
IAW	Iraqi Airways "Iraqi"
OAE	Omni Air Express "Omni-Express" (Tulsa, OK)
